"","Code","Party","filtered_text","label","Labels"
"26",167507,"SR","Фракция СПРАВЕДЛИВАЯ РОССИЯ в первую очередь отмечает ту огромную работу, которую проводит Правительство Российской Федерации по увеличению финансирования системы здравоохранения.","positive","выражает поддержку правительству России"
"27",75571,"SR","И сегодня я благодарен Правительству Российской Федерации, которое внесло вместе с коллегами из сената очень важный, по сути, законопроект, позволяющий хотя бы частично, но раскрепостить работу ярмарок.","positive","выражает поддержку правительству России"
"28",132093,"SR","Я хотел бы поблагодарить и правительство, и комитет за то, что инициатива, которая докладывалась СПРАВЕДЛИВОЙ РОССИЕЙ, лично мною с трибуны, может быть, год или полтора назад, один в один сегодня представлена от имени правительства, и все поддерживают, все, естественно, проголосуют.","positive","выражает поддержку правительству России"
"29",58399,"SR","Я абсолютно согласен с тем предложением, которое вносит сегодня правительство по поводу схемы урегулирования сирийского долга.","positive","выражает поддержку правительству России"
"30",94431,"SR","Сейчас выступала Надежда Васильевна Школкина, и я очень порадовался её словам, что правительство уделяет больше внимания крестьянам.","positive","выражает поддержку правительству России"
"31",131528,"LDPR","Уважаемые коллеги, фракция ЛДПР поддержит концепцию, с которой сегодня обращается к нам Правительство Российской Федерации.","positive","выражает поддержку правительству России"
"32",156138,"LDPR","Ипотечные программы - это, как вы уже сказали, действительно двигатель жилищного строительства, и мы поддерживаем работу правительства в этом направлении.","positive","выражает поддержку правительству России"
"33",132883,"LDPR","Мы благодарим Правительство Российской Федерации, благодарим непосредственно докладчика за то, что нам так подробно был изложен этот вопрос.","positive","выражает поддержку правительству России"
"34",132123,"LDPR","Я также хотел бы добавить, что фракция ЛДПР, несомненно, поддержит данную правильную законодательную инициативу. Хотелось бы выразить благодарность правительству, Министерству обороны.","positive","выражает поддержку правительству России"
"35",98105,"LDPR","В целом хочется отметить, что действительно положительным образом сказываются те реформы, которые проводятся сейчас Правительством Российской Федерации, их плоды абсолютно очевидны и заметны.","positive","выражает поддержку правительству России"
"36",114119,"KPRF","Я хотел бы поддержать ратификацию данного соглашения и сказать, что это, наверное, одно из наиболее удачных решений Министерства финансов и правительства.","positive","выражает поддержку правительству России"
"37",100129,"KPRF","Я полагаю, что нужно поддержать Министерство внутренних дел, министра и Правительство Российской Федерации за подобную инициативу - совершенно справедливую, гуманную и важную.","positive","выражает поддержку правительству России"
"38",162988,"KPRF","Уважаемый Иван Иванович, хотелось бы поблагодарить всех присутствующих в зале, особенно представителей правительства, Александра Юрьевича, за последовательность и принципиальность в отстаивании наших совместных позиций.","positive","выражает поддержку правительству России"
"39",12175,"KPRF","Уважаемые коллеги, я прошу поддержать позицию Правительства, потому что принятие этой поправки нанесет вред и российским гражданам, и Российскому государству.","positive","выражает поддержку правительству России"
"40",12147,"KPRF","Я горячо поддерживаю позицию Правительства Российской Федерации относительно этой поправки.","positive","выражает поддержку правительству России"
"41",62919,"UR","Законопроект, вы помните, вносился Правительством Российской Федерации, был принят в первом чтении в конце прошлого года, конкретно 26 декабря.","neutral","нейтрален в отношении правительства России"
"42",166794,"UR","На сегодняшний день у нас включено в план 32 законопроекта, и из них 15 внесено правительством.","neutral","нейтрален в отношении правительства России"
"43",77822,"UR","Напомню, что в состав этой группы входят депутаты Государственной Думы, члены Совета Федерации и представители правительства.","neutral","нейтрален в отношении правительства России"
"44",140738,"UR","К законопроекту поступило 18 поправок - как от правительства, так и от наших коллег.","neutral","нейтрален в отношении правительства России"
"45",74710,"UR","В связи с этим комитет считает, что нет оснований отправлять запрос в Правительство Российской Федерации.","neutral","нейтрален в отношении правительства России"
"46",75679,"SR","Мы их отработали со всеми правовыми управлениями, с правительством, с заинтересованными министерствами и ведомствами.","neutral","нейтрален в отношении правительства России"
"47",162241,"SR","Так как у нас сегодня встреча в правительстве, по объективным причинам я могу не успеть.","neutral","нейтрален в отношении правительства России"
"48",104774,"SR","Сегодня мы будем рассматривать 27-м пунктом законопроект о предоставлении налоговых каникул индивидуальным предпринимателям, это правительственный законопроект, внесённый в октябре.","neutral","нейтрален в отношении правительства России"
"49",122313,"SR","Единственное смущает, что это не обязанность - проводить оценку регулирующего воздействия: если, например, у правительства это обязанность, в соответствии с внутренними процедурами они обязаны это делать, то у нас это выборочно.","neutral","нейтрален в отношении правительства России"
"50",154518,"SR","Первая часть касается вопроса о причинах роста экспорта золота и увеличения оттока капитала - здесь мы ничего не имеем против того, чтобы запросить информацию в Банке России и правительстве.","neutral","нейтрален в отношении правительства России"
"51",153389,"LDPR","В ходе работы над ним в комитет поступило две поправки от Правительства Российской Федерации, они помещены в таблицу поправок, рекомендованных комитетом к принятию.","neutral","нейтрален в отношении правительства России"
"52",21405,"LDPR","Это событие только для комитета по статистике, может быть, для Правительства, потому что Правительство уточненную информацию получит.","neutral","нейтрален в отношении правительства России"
"53",72258,"LDPR","Правила расчёта двухставочного тарифа могло бы установить Правительство Российской Федерации, а сами тарифы - органы местного самоуправления.","neutral","нейтрален в отношении правительства России"
"54",139751,"LDPR","Насколько мне известно, по Регламенту при процедуре рассмотрения в третьем чтении принимает участие докладчик, если есть информация об оценке регулирующего воздействия законопроекта, можно выслушать представителя правительства, а также допускается выступление представителей фракций по мотивам.","neutral","нейтрален в отношении правительства России"
"55",100756,"LDPR","Законопроект фракции ЛДПР направлен на то, чтобы декларации сдавались в соответствии с теми правилами, которые устанавливают правительство, региональная либо муниципальная исполнительная власть.","neutral","нейтрален в отношении правительства России"
"56",57803,"KPRF","Просьба к комитету по Регламенту прокомментировать, насколько соответствует Регламенту порядок рассмотрения проекта закона и можно ли законопроект, затрагивающий бюджетные средства, рассматривать без заключения правительства.","neutral","нейтрален в отношении правительства России"
"57",89389,"KPRF","Олег Владиславович, в пояснительной записке сказано, что условия, размер, сроки и порядок предоставления субсидий будут определяться постановлением правительства.","neutral","нейтрален в отношении правительства России"
"58",159346,"KPRF","Перечень причин, по которым иностранное гражданство не прекращается по независящим от гражданина обстоятельствам, определяет Правительство Российской Федерации.","neutral","нейтрален в отношении правительства России"
"59",158285,"KPRF","Законопроект большой, ёмкий, он выстрадан нотариальным сообществом, Министерством юстиции и правительством в течение нескольких дней.","neutral","нейтрален в отношении правительства России"
"60",26132,"KPRF","Правительство и Правовое управление Аппарата Госдумы дали отрицательные заключения на этот законопроект.","neutral","нейтрален в отношении правительства России"
