"Date","Name","Issue","Stage","Convocation","Party","text"
2004-10-20,"Жуков Андрей Дмитриевич","О проекте федерального закона № 86859-4 ""О федеральном бюджете на 2005 год"".","Рассмотрение законопроекта во втором чтении","IV Convocation","UR","ЖУКОВ А. Д., заместитель Председателя Правительства Российской Федерации. Кудрин заболел, но он должен подъехать попозже немножко. Христенко находится с официальным визитом в Болгарии, а Зурабов и Левитин будут."
2004-11-24,"Жириновский Владимир Вольфович","О проекте порядка работы Государственной Думы на 24 ноября 2004 года.",NA,"IV Convocation","LDPR","ЖИРИНОВСКИЙ В. В., заместитель Председателя Государственной Думы, фракция ЛДПР. Жириновский по карточке Лебедева. Вот вчера наш депутат предложил рассмотреть вопрос и как-то оценить выборы на Украине - мы не захотели. А украинский парламент собрался. В США тоже политического рода заявления делались. Вот эта наша деликатность - она ни к чему хорошему не ведет. И мы видим, что происходит самозахват власти, так сказать. Для кого-то это может быть дурным примером, чтобы такую же операцию проделать в Белоруссии, а на последнем этапе и в нашей стране, поэтому надо учиться применять превентивные меры и учить наших соседей этому, как учат США всех своих потенциальных союзников, друзей и недругов. Они ракетами устанавливают демократию в Кабуле, в Белграде и в Багдаде - а мы даже не хотим в собственном парламенте хоть немножко поговорить о том, что происходит не просто у наших соседей, а в близких нам странах, так сказать, там, где находится минимум двенадцать... (Микрофон отключен.)"
2004-11-24,"Макашов Альберт Михайлович","О проекте порядка работы Государственной Думы на 24 ноября 2004 года.",NA,"IV Convocation","KPRF","МАКАШОВ А. М., фракция Коммунистической партии Российской Федерации. Бесквартирные офицеры забросали меня предложениями вместо разрушенной гостиницы ""Москва"" построить новый дом за счет гражданки Батуриной и заселить бесквартирными офицерами. Довожу до сведения всех депутатов Государственной Думы."
2004-11-24,"Резник Владислав Матусович","О проекте федерального закона № 96195-4 ""О внесении изменений в статьи 38 и 41 Федерального закона ""О страховании вкладов физических лиц в банках Российской Федерации"" (в части приведения отдельных норм закона в соответствие с федеральным законодательством).","Рассмотрение законопроекта в первом чтении","IV Convocation","UR","РЕЗНИК В. М. Глубокоуважаемые коллеги, мы проголосовали законопроект из пункта 4 в первом чтении, единственное, мы не установили срок. Нам для протокола надо дать хотя бы недельный срок на поправки в этот законопроект. Это согласовано."
2004-12-22,"Хованская Галина Петровна","О проекте федерального закона № 51687-4 ""О внесении изменений в статью 446 Гражданского процессуального кодекса Российской Федерации"" (по вопросу обращения взыскания на жилое помещение).","Рассмотрение законопроекта в третьем чтении","IV Convocation","Independent","ХОВАНСКАЯ Г. П. Так вот я хочу сказать о людях, проживающих в общежитиях, в аварийных домах и в других помещениях, приватизация которых запрещена, что, если они получают жилье, они имеют право обратиться в Конституционный Суд, и перспектива у этих граждан Российской Федерации очень хорошая, потому что норма противоречит Конституции Российской Федерации. Очень плохое положение у бывших членов семьи собственника, потому что лазейка в Жилищном кодексе и в части первой Гражданского кодекса (сегодня мы тоже принимаем это изменение, эту норму в третьем чтении) позволяет, несмотря на решение суда в отношении бывших членов семьи собственника, - вдумайтесь! - в отношении тех, перед кем есть алиментные обязательства, предоставить другое жилое помещение. Продав жилье, этих членов семьи отправляют на улицу. И что, государство будет снова отвечать, предоставлять это... (Микрофон отключен.)"
2005-01-14,"Заполев Михаил Михайлович","Протокольные поручения",NA,"IV Convocation","KPRF","ЗАПОЛЕВ М. М. Борис Вячеславович, я депутат молодой, наверное, всех этих тонкостей не знаю, ну, вы мне тогда посоветуйте, подскажите, как опытные депутаты. Люди посмотрели вот этот фильм, они звонят и говорят: нас что, продолжают в скотов превращать, чтобы с трупами мы любились, с животными мы любились... Вообще, вот как можно мне объяснить сегодня людям, что Государственная Дума из формальных соображений не может принять меры и навести порядок, чтобы вот этого скотства в стране не было? Вот посоветуйте мне тогда."
2005-01-14,"Ковалев Николай Дмитриевич","Протокольные поручения",NA,"IV Convocation","UR","КОВАЛЁВ Н. Д., председатель Комитета Государственной Думы по делам ветеранов, фракция ""Единая Россия"". Уважаемый Борис Вячеславович, уважаемые коллеги! Комитет по делам ветеранов проводил слушания, посвященные 122-му федеральному закону, и в тех рекомендациях, которые распространялись, имеется и анализ обращений ветеранов в связи с этим законом. Вчера был направлен запрос в правительство и в другие заинтересованные органы, и будет проведена работа по анализу обращений ветеранов Комитетом по труду и социальной политике. Поэтому я на сегодняшний день считаю, что вот это протокольное поручение, по сути, выполнено, и предлагаю в данной редакции его не поддерживать."
2005-01-14,"Маркелов Михаил Юрьевич","О проекте порядка работы Государственной Думы на 14 января 2005 года.",NA,"IV Convocation","SR","МАРКЕЛОВ М. Ю. Уважаемый Борис Вячеславович, я считаю, что протокольное поручение, которое озвучено Алексеем Валентиновичем, не имеет абсолютно никакого отношения к Комитету по безопасности. И мы, кажется, договорились, что протокольные поручения не озвучиваем, когда обсуждается повестка дня. Спасибо."
2005-02-02,"Кибирев Борис Григорьевич","О проекте федерального закона № 11642-4 ""О внесении изменения в статью 346-32 части второй Налогового кодекса Российской Федерации"" (установление для плательщиков единого налога на вмененный доход обязанности осуществлять авансовые платежи в бюджеты субъектов Российской Федерации).","Рассмотрение законопроекта в первом чтении","IV Convocation","KPRF","КИБИРЕВ Б. Г. Уважаемый Борис Вячеславович, уважаемые коллеги! Ну, известно, что истина всегда рождается в спорах, поэтому я тоже хочу изложить свое мнение относительно этого законопроекта, особенно после того, как его оппонентом выступила Оксана Генриховна, которую я искренне уважаю как специалиста и очень объективного депутата. Хочу с удовлетворением отметить, что законопроект достаточно свежий. Мы привыкли к тому, что у нас такие законопроекты лежат по три - по четыре года, а этот был внесен в прошлом году, и вот сейчас мы его рассматриваем, причем сейчас то же самое Законодательное Собрание осталось, мы вот, слава богу, те же самые депутаты работаем и остались, как говорится, те же самые проблемы. Если на историю влияет личность, которая, так сказать, ее совершает, то законотворчество, естественно, несет на себе отпечаток особенностей субъекта права. Вот субъект права - представительный орган Краснодарского края, население которого - пять миллионов. Там набирает силу экономика, развивается предпринимательство, но есть масса проблем, особенно в санаторно-курортной сфере, где количество мест в наших, скажем, традиционных гостиницах, их вместимость, сравнялось с количеством мест в так называемых малых гостиницах, относящихся к малому предпринимательству, и вот разобраться там практически невозможно. Что существует сегодня в законодательстве на этот счет? 25-го числа первого месяца, следующего за отчетным периодом, уплачивается налог. Что предлагают краснодарские законодатели? Они предлагают не весь налог, а половину этого налога уплачивать до 10-го числа второго месяца, практически в середине этого квартала, а потом уже производить окончательный расчет 25-го числа первого месяца, следующего за отчетным кварталом. Получается не авансирование платежей, а более равномерное их выплачивание. Таким образом, законопроект решает две проблемы. Во-первых, он предполагает более равномерное поступление налоговых платежей в течение года, потому что получается, что платежи производятся частями не четыре раза, а восемь раз в год, что очень важно для бюджетов субъектов из-за социальных расходов и так далее, и так далее. Во-вторых, такая система обеспечивает бо льшую сбалансированность между федеральным и региональным бюджетами. Понятно, что в связи с этим у каждого есть свои доводы, есть аргументы, кто-то согласен, кто-то не согласен. Я, как человек, так сказать, обеспокоенный тем, чтобы развивалась наша экономика, в том числе через малое предпринимательство, считаю, что вполне возможно этот законопроект поддержать, если есть какие-то проблемы, то можно доработать его. Лично я проголосую за. Спасибо за внимание."
2005-02-02,"Ковалев Олег Иванович","О проекте постановления Государственной Думы ""О внесении изменения в главу 20 Регламента Государственной Думы Федерального Собрания Российской Федерации"" (в связи с внесением изменений в Федеральный закон ""О Счетной палате Российской Федерации"").",NA,"IV Convocation","UR","КОВАЛЁВ О. И. Уважаемый Борис Вячеславович, уважаемые коллеги! Предлагаемое вашему вниманию изменение в главу 20 Регламента обусловлено необходимостью приведения его положений в соответствие с законом ""О Счетной палате Российской Федерации"", в который в прошлом году мы внесли ряд изменений. В соответствии с этими изменениями было установлено, что председатель Счетной палаты назначается на должность и освобождается от должности по представлению Президента Российской Федерации. При этом предложения о кандидатах на должность председателя Счетной палаты могут вноситься президенту депутатскими объединениями и комитетами Государственной Думы, а также не менее одной пятой от общего числа депутатов Государственной Думы. Предлагаемые изменения в Регламент определяют процедуру внесения таких предложений Президенту Российской Федерации и устанавливают порядок рассмотрения Государственной Думой вопроса о назначении на должность и освобождении от должности председателя Счетной палаты. Уточняется также порядок назначения Государственной Думой аудиторов Счетной палаты, в частности устанавливается право депутатских объединений, комитетов Государственной Думы, а также депутатов Государственной Думы вносить предложения о кандидатах на должности аудиторов Счетной палаты в Комитет по бюджету и налогам. При этом Комитет по бюджету и налогам после предварительного рассмотрения должен вносить на рассмотрение палаты весь список предложенных кандидатур со своими рекомендациями по каждой кандидатуре, Государственная Дума сама будет решать, кого из этого списка назначать на должность аудитора. Кроме того, в соответствии с новыми положениями Федерального закона ""О Счетной палате..."" предлагаются изменения, предусматривающие, что решение палаты о досрочном освобождении председателя и аудиторов Счетной палаты принимается во всех случаях большинством от общего числа депутатов Государственной Думы. Прежние редакции федерального закона и Регламента предусматривали случаи, когда для принятия такого решения требовалось не менее двух третей от общего числа депутатов. В целом проект постановления... поправки в Регламент носят технический характер. Прошу поддержать. Спасибо."
2005-02-09,"Кибирев Борис Григорьевич","О проекте федерального закона № 49743-4 ""О внесении дополнений в Кодекс Российской Федерации об административных правонарушениях"" (об установлении ответственности соответствующих должностных лиц за создание условий, препятствующих гражданам исполнять воинскую обязанность при прохождении ими военных сборов или тренировочных занятий; внесен Курганской областной Думой).","Рассмотрение законопроекта в первом чтении","IV Convocation","KPRF","КИБИРЕВ Б. Г. Уважаемая Любовь Константиновна, уважаемые коллеги! Хорошо сказал первый докладчик Николай Максимович Безбородов о том, что все законопроекты абсолютно однотипны. Так вот, они однотипны по той причине, что порождены одними и теми же условиями. И наверное, авторы всех четырех законопроектов хорошо читали и другие законы, причастные к этой проблеме. А раз читали и сочли нужным эти законопроекты внести, значит, в этом есть необходимость. Я не возражаю против принятия всех этих законов, но персонально хочу поддержать законопроект под номером 6.3, который доложил нам здесь член Совета Федерации Шишков Алексей Николаевич. Законопроект разработан Законодательным Собранием Краснодарского края. В этом пятимиллионном регионе Российской Федерации, конечно, много проблем, связанных с подготовкой молодежи к службе в рядах Российской армии и со сбором, мобилизацией резервистов тогда, когда в этом возникает необходимость. В законопроекте есть здравый смысл. Еще раз хочу повторить, что он порожден реалиями сегодняшнего дня. И объективно все законопроекты, в том числе под номером 6.3, - это законопроекты о мерах по укреплению обороноспособности России. Давайте посмотрим эти законопроекты. Вот проект под номером 6.3, который дополняет статьей 21.8 Кодекс об административных правонарушениях. На военные сборы и тренировочные занятия надо ходить - это гражданская обязанность. А раз не идешь, за это надо отвечать. Ответственность какая? Ну скажем, не очень, конечно, суровая: от половины минимального размера оплаты труда до пяти. Но, наверное, здесь главное не сумма, а то, что есть юридическая норма. Особенно важна вторая статья, которая вносит изменения в главу 21 Кодекса об административных правонарушениях, - статья 21.9. Это статья об ответственности должностных лиц и руководителей, которые могут препятствовать гражданину, своему работнику, выполнять свой воинский долг и являться по призыву военкомата туда, куда ему положено явиться. Масса примеров, когда действительно так происходит. Человека могут отправить в командировку, не передать ему повестку, не принять от него материальные ценности, которые под его ответственностью находятся и так далее. А финал? Финал - страдает наша обороноспособность. И здесь тоже... Ну что? Административная ответственность от пяти до десяти минимальных размеров оплаты труда. Конечно, в этих законопроектах нечетко сформулированы какие-то положения, но беды особой в этом нет. Для чего у нас существует процедура трех чтений? Я думаю, что всё это можно привести в порядок. Поэтому я еще раз повторяю, что при положительном отношении ко всем законопроектам, особенно выделяю и поддерживаю законопроект, внесенный Законодательным Собранием Краснодарского края, ибо порожден он заботой об укреплении обороноспособности России, а это наша с вами общая задача. Я проголосую за этот законопроект. Призываю и вас. Спасибо за внимание."
2005-02-09,"Ковалев Олег Иванович","Об итогах социально-экономического развития Российской Федерации в 2004 году. Выступление Председателя Правительства Российской Федерации М. Е. Фрадкова.",NA,"IV Convocation","UR","КОВАЛЁВ О. И. Уважаемый Борис Вячеславович, уважаемые коллеги! В связи с тем что мы утвердили порядок работы сегодняшнего заседания и в этом порядке мы предусмотрели выступление Председателя Правительства Российской Федерации Михаила Ефимовича Фрадкова с информацией об итогах социально-экономического развития Российской Федерации в 2004 году, предлагается 2 марта не заслушивать председателя правительства, поскольку он, по сути, с этим докладом выступит сегодня. Прошу поставить на голосование предложение об отмене приглашения на 2 марта председателя правительства. Спасибо."
2005-02-09,"Рогозин Дмитрий Олегович","О проекте постановления Государственной Думы ""О недоверии Правительству Российской Федерации"".",NA,"IV Convocation","SR","РОГОЗИН Д. О. Да понятно всё, Борис Вячеславович! Вопросов у меня было два. Первый - по тайному голосованию в кабинках. Всё-таки мы считаем, что лучше сейчас проголосовать, а не потом, когда будем порядок рассматривать. И второй вопрос у меня был, который я тоже обозначил: поскольку у нас два разных пункта в повестке дня - это отчет правительства и вопрос о недоверии правительству, то мы предлагаем и по тому и по другому дать возможность депутатам задать свои вопросы."
2005-02-16,"Кнорр Андрей Филиппович","О мерах, принимаемых Правительством Российской Федерации по стабилизации продовольственного рынка, законодательному обеспечению развития агропродовольственного сектора на ближайшую перспективу, и о готовности агропромышленного комплекса к проведению весенних полевых работ.",NA,"IV Convocation","UR","КНОРР А. Ф., фракция ""Единая Россия"". Спасибо, Борис Вячеславович. Уважаемый Алексей Васильевич, как известно, на Западе всё больше внимания уделяется развитию сельских территорий с целью более эффективного использования их аграрного потенциала и рекреационных возможностей для сельского туризма и так далее, для создания кадрового потенциала. Какие конкретные шаги в этом направлении предпринимаются Правительством России у нас? И второй вопрос, наверное, к Михалёву Анатолию Андреевичу. В чем причина и кто виноват, почему не произошло закупки по интервенции в прошлом году и что будет делаться в этом плане в этом году, какие перспективы? Потому что сегодня рынок зерна и муки практически стоит и мы стоим на пороге закупки топлива для подготовки к весенне-полевым работам и... (Микрофон отключен.)"
2005-04-15,"Агеев Александр Александрович","О проекте порядка работы Государственной Думы на 15 апреля 2005 года.",NA,"IV Convocation","UR","АГЕЕВ А. А. Снять."
2005-04-15,"Шеин Олег Васильевич","О проекте порядка работы Государственной Думы на 15 апреля 2005 года.",NA,"IV Convocation","SR","ШЕИН О. В. Спасибо, Любовь Константиновна, очень по-товарищески. В этой связи мне представляется правильным разобраться вот с этим письмом, чтобы впредь таких вещей просто больше не было никогда. Спасибо."
2005-04-20,"Трофимов Евгений Николаевич","О проекте федерального закона № 108088-4 ""О внесении изменений в статью 16 Закона Российской Федерации ""Об образовании"" и статью 11 Федерального закона ""О высшем и послевузовском профессиональном образовании"" (о предоставлении преимущественного права поступления в государственные образовательные учреждения среднего профессионального и высшего профессионального образования детям военнослужащих, погибших при исполнении ими обязанностей военной службы или умерших вследствие увечья (ранения, травмы, контузии) либо заболевания, полученных ими при исполнении обязанностей военной службы).","Рассмотрение законопроекта в первом чтении","IV Convocation","UR","ТРОФИМОВ Е. Н., представитель Совета Федерации, член Совета Федерации. Уважаемая Любовь Константиновна, уважаемые депутаты! Необходимость разработки и внесения на рассмотрение Государственной Думы Федерального Собрания Российской Федерации данного законопроекта продиктована дополнительной заботой о детях военнослужащих, погибших при исполнении ими обязанностей военной службы или умерших вследствие увечья либо заболевания, полученных ими при исполнении обязанностей военной службы. Действующая редакция Федерального закона ""О статусе военнослужащих"" дает преимущество при поступлении в военные учебные заведения этой категории лиц при условии успешной сдачи экзаменов и соответствия другим установленным для поступающих требованиям. Однако этим правом могут воспользоваться лица мужского пола при наличии соответствующего здоровья. При этом лица женского пола в существенной степени ущемлены в реализации данного преимущества, так как значительная часть военных учебных заведений осуществляет прием только юношей. Ущемлены в реализации данного права юноши и девушки, не имеющие возможности поступить в учебные заведения военного профиля по состоянию здоровья. Законами ""Об образовании"" и ""О высшем и послевузовском профессиональном образовании"" не предусмотрено для этой категории молодежи никакого преимущества при поступлении в государственные и муниципальные образовательные учреждения среднего профессионального и высшего профессионального образования. Данный законопроект направлен на предоставление детям военнослужащих данной категории преимущественного права при поступлении в указанные государственные и муниципальные образовательные учреждения и ликвидирует пробел в законодательстве в отношении их гарантированной социальной защиты, что также соответствует статье 7 Конституции Российской Федерации. Принятие данного закона станет проявлением заботы государства о семьях военнослужащих, погибших при исполнении ими обязанностей военной службы, в том числе при их участии в антитеррористических операциях. Прошу поддержать данный проект закона. Спасибо."
2005-04-22,"Слиска Любовь Константиновна","О проекте календаря рассмотрения вопросов Государственной Думой с 11 по 27 мая 2005 года.",NA,"IV Convocation","UR","СЛИСКА Л. К. Отчет Счетной палаты не является проектом закона, который предлагается для рассмотрения в календаре. Я прошу вас обратиться в соответствующий комитет и решить этот вопрос в том плане, как предполагается по Регламенту. СЛИСКА Л. К. Владимир Иванович, уважаемый, но вы работаете в этом комитете, поэтому всё зависит от решения вашего комитета. Предлагайте его вынести на рассмотрение через Совет Думы."
2005-05-13,"Кармеев Анбяр Арифуллович","О проекте федерального закона № 63622-4 ""О внесении изменения в статью 4 Закона Российской Федерации ""О средствах массовой информации"" (в части, касающейся запрета на распространение продукции средств массовой информации, пропагандирующей порнографию, культ насилия и жестокости).","Рассмотрение законопроекта в первом чтении","IV Convocation","UR","КАРМЕЕВ А. А. Комитет Государственной Думы по информационной политике - действующий комитет, и можете не сомневаться: депутаты, работающие в данном комитете, серьезно озабочены, обеспокоены данной проблематикой. Нет ни одного заседания комитета, где мы бы не обсуждали данные вопросы. Что касается позиции комитета по этой проблеме... Как я уже сказал, эта тема в центре внимания нашего комитета."
2005-05-20,"Ищенко Александр Николаевич","О проекте порядка работы Государственной Думы на 20 мая 2005 года.",NA,"IV Convocation","UR","ИЩЕНКО А. Н., фракция ""Единая Россия"". Спасибо. Вопрос снимается, Борис Вячеславович."
2005-05-25,"Плотников Владимир Николаевич","О ходе реформирования электроэнергетики (во исполнение статьи 10 Федерального закона от 26 марта 2003 года № 36-ФЗ ""Об особенностях функционирования электроэнергетики в переходный период и о внесении изменений в некоторые законодательные акты Российской Федерации и признании утратившими силу некоторых законодательных актов Российской Федерации в связи с принятием Федерального закона ""Об электроэнергетике"").",NA,"IV Convocation","Independent","ПЛОТНИКОВ В. Н. Любовь Константиновна, мы один вопрос упустили. Мы по первой части не проголосовали за то, чтобы дать поручение аграрному комитету сконцентрировать все предложения в проекте постановления по первому вопросу, чтобы мы в последующем на заседаниях его могли проголосовать."
2005-05-27,"Смолин Олег Николаевич","О проекте федерального закона № 376864-3 ""Об увеличении размера базовой части трудовой пенсии лицам, достигшим возраста 75 лет"".","Рассмотрение законопроекта в первом чтении","IV Convocation","KPRF","СМОЛИН О. Н. Уважаемые коллеги, я опять же буду краток. Ну что тут говорить? Мы действительно обделили тружеников тыла. Это первое. Второе. У нас действительно очень много людей, у которых пенсия не достигает не то что среднедушевого по стране прожиточного минимума, но даже так называемого прожиточного минимума пенсионера, который почему-то в полтора раза меньше, чем у других людей, хотя мне это трудно понять, я вообще не понимаю: неужели, как только человеку исполняется пятьдесят пять или шестьдесят лет, ему сразу в полтора раза меньше хочется есть, пить, одеваться или ему снижают сразу в полтора раза тарифы на коммунальные услуги? Но даже этого прожиточного минимума у нас очень многие люди этого возраста не достигают. Третье. Валентина Борисовна абсолютно права: новое пенсионное законодательство повышает роль уровня заработной платы и понижает роль трудового стажа. И поэтому у нас огромное количество людей, которые обращаются: ""Я отработала сорок пять лет, но у меня нет никаких льгот и у меня пенсия 1 500 рублей"". Коллеги, я призываю поддержать ваших, и не только ваших, матерей. Спасибо."
2005-06-08,"Кравец Александр Алексеевич","О мерах, принимаемых Правительством Российской Федерации, по реформированию учреждений бюджетной сферы в области культуры и оптимизации расходов бюджетных средств, выделяемых на содержание учреждений культуры, искусства и средств массовой информации.",NA,"IV Convocation","KPRF","КРАВЕЦ А. А., фракция Коммунистической партии Российской Федерации. Спасибо, Борис Вячеславович. По карточке Савицкой - Кравец."
2005-06-08,"Плетнева Тамара Васильевна","О проекте порядка работы Государственной Думы на 8 июня 2005 года.",NA,"IV Convocation","KPRF","ПЛЕТНЁВА Т. В., фракция Коммунистической партии Российской Федерации. Спасибо. Уважаемый Борис Вячеславович, уважаемые коллеги! Любой наш приезд в регионы, конечно, дает нам большую подпитку, поэтому я озвучиваю то, что хотел слышать мой избиратель. Первое. Выступление нашего президента на Совете Безопасности вызвало у всех, ну, чувство удовлетворенности большой, что наконец-то президент наш заговорил так, как надо, о профессионалах и о преступниках. Но тем не менее опять оказался виноват стрелочник. Все ждали, что наконец-то Чубайс будет отстранен. Хотелось бы узнать, кто все-таки... кому он больше нужен - нам или, может быть, нашим заокеанским друзьям? И второй вопрос. У нас в Тамбовской области - думаю, что и в других регионах, - отключили канал ТВЦ, который очень многие любили, смотрели его. Вместо него - канал ""Культура"". Поэтому протокольное поручение Комитету по информационной политике: проинформировать депутатов, на каком основании этот канал, более патриотичный, чем другие, был отключен... (Микрофон отключен.)"
